Ticket,Ticket,Ticket,Ticket,Ticket,Customer,Customer,Resolution,Resolution,Resolution,Resolution
TCKT-1271,"Nov 19, 2025",2025-11-19,Low,Operations;Marketing;Support,Erica Hansen,tristan23@example.net,"[{""system"": ""Payroll System"", ""impact"": ""Partial""}, {""system"": ""Payroll System"", ""impact"": ""Full""}]","[{""step"": ""Cup go main though conference boy."", ""performed_by"": ""Seth Rodriguez""}, {""step"": ""Down husband wind attorney technology shake civil."", ""performed_by"": ""David Johnson""}, {""step"": ""Stop on PM tonight."", ""performed_by"": ""Sarah Ray""}]",,
TCKT-1272,2024-05-16,22/05/24,Low,Finance,Isabel Green MD,cory37@example.net,"[{""system"": ""Payroll System"", ""impact"": ""Full""}, {""system"": ""Database"", ""impact"": ""Full""}]","[{""step"": ""Medical front month say onto that."", ""performed_by"": ""Lori Haynes""}]",Someone smile rule remember kid realize seat situation. Fall maintain on build many personal. Share available best increase write knowledge.,Someone smile rule remember kid realize seat situation. Fall maintain on build many personal. Share available best increase write knowledge.
TCKT-1273,2024-09-05,09/09/24,Critical,Finance,Robert Steele,jcastaneda@example.com,"[{""system"": ""Email Server"", ""impact"": ""Full""}, {""system"": ""Email Server"", ""impact"": ""Partial""}]","[{""step"": ""Different article blue bill charge."", ""performed_by"": ""Scott Garcia""}, {""step"": ""Born nature green need cost baby against."", ""performed_by"": ""Michael Brady""}]",Agree activity sure fight. If college another. Marriage yet sure. Culture really manage foot go. <br> rise!,Agree activity sure fight. If college another. Marriage yet sure. Culture really manage foot go. <br> rise!
TCKT-1274,2025-01-09,"Jan 23, 2025",High,HR,Deborah Terry,sflores@example.net,"[{""system"": ""Email Server"", ""impact"": ""Full""}, {""system"": ""Email Server"", ""impact"": ""Partial""}, {""system"": ""Email Server"", ""impact"": ""Full""}]","[{""step"": ""When player important could beyond final despite."", ""performed_by"": ""Christopher White""}, {""step"": ""Teacher add same interview as prove type any."", ""performed_by"": ""Jessica Young""}]",Rather audience physical other number six. Theory better heavy build. Leg look seat involve alone raise campaign.,Rather audience physical other number six. Theory better heavy build. Leg look seat involve alone raise campaign.
TCKT-1275,2025-01-09,2025-01-09,Critical,Finance;Sales,Laura Perez,sheila09@example.net,"[{""system"": ""Database"", ""impact"": ""Full""}]","[{""step"": ""Cultural couple spring cup."", ""performed_by"": ""Heather Guerrero""}, {""step"": ""Reflect star least."", ""performed_by"": ""Denise Cobb""}]",Modern move police cover leave hope. Game discussion feeling Mr while dark.,Modern move police cover leave hope. Game discussion feeling Mr while dark.
TCKT-1276,"Nov 05, 2025",27/11/25,Critical,Marketing;IT;Finance,Karen Oconnor,dmccoy@example.com,"[{""system"": ""Network Switch"", ""impact"": ""Partial""}, {""system"": ""CRM"", ""impact"": ""Partial""}, {""system"": ""Database"", ""impact"": ""Partial""}]","[{""step"": ""For under cause three wish already would."", ""performed_by"": ""Lauren Rangel""}, {""step"": ""Speech new democratic rate where."", ""performed_by"": ""Brittney Martin""}]",Image citizen visit itself picture himself figure. Candidate minute design happen short though beautiful. Trial difference resource structure.,Image citizen visit itself picture himself figure. Candidate minute design happen short though beautiful. Trial difference resource structure.
TCKT-1277,2024-09-23,24/09/24,Medium,Sales;HR,Sarah Rogers,ryancross@example.net,"[{""system"": ""Payroll System"", ""impact"": ""Full""}, {""system"": ""Email Server"", ""impact"": ""Partial""}]","[{""step"": ""Building act down return including under laugh his."", ""performed_by"": ""Mary Clark""}, {""step"": ""Camera impact politics think much."", ""performed_by"": ""Matthew Lang""}]",,
TCKT-1278,2024-10-12,2024-11-10,Medium,Marketing;IT;Sales,John Williams,douglas32@example.com,"[{""system"": ""CRM"", ""impact"": ""Partial""}, {""system"": ""Email Server"", ""impact"": ""Full""}, {""system"": ""CRM"", ""impact"": ""Partial""}]","[{""step"": ""Next down smile magazine."", ""performed_by"": ""Keith Davenport""}, {""step"": ""Head Republican power guess."", ""performed_by"": ""Sabrina Villanueva""}, {""step"": ""Professional Mrs television hospital save them two."", ""performed_by"": ""Toni Mckinney""}]",Story ten trouble. Defense red beautiful third require. Stuff under return table station young.,Story ten trouble. Defense red beautiful third require. Stuff under return table station young.
TCKT-1279,2025-07-08,2025-07-25,Low,Sales;Marketing;Operations,Mrs. Janice Arnold,brockjoseph@example.org,"[{""system"": ""CRM"", ""impact"": ""Full""}, {""system"": ""Payroll System"", ""impact"": ""Full""}, {""system"": ""CRM"", ""impact"": ""Full""}]","[{""step"": ""In important campaign step account suddenly."", ""performed_by"": ""Dominic Brewer""}]",Might road long religious campaign always piece. Also each eight. <br> word!,Might road long religious campaign always piece. Also each eight. <br> word!
TCKT-1280,27/01/26,2026-01-27,High,HR,Steven Farrell,lopezkristina@example.org,"[{""system"": ""Network Switch"", ""impact"": ""Full""}, {""system"": ""Network Switch"", ""impact"": ""Partial""}, {""system"": ""Web Portal"", ""impact"": ""Full""}]","[{""step"": ""Easy control better."", ""performed_by"": ""Danielle Rubio""}]",This realize shake break prepare stage. Hundred pass hot. Change anyone indeed baby indeed now away. Education arm and member air foot his.,This realize shake break prepare stage. Hundred pass hot. Change anyone indeed baby indeed now away. Education arm and member air foot his.
TCKT-1281,2025-11-30,28/12/25,Medium,Marketing;HR;IT,Vincent Montoya,kristifrazier@example.net,"[{""system"": ""Email Server"", ""impact"": ""Full""}, {""system"": ""Network Switch"", ""impact"": ""Full""}, {""system"": ""Web Portal"", ""impact"": ""Full""}]","[{""step"": ""Mother admit charge."", ""performed_by"": ""Brenda Brown""}, {""step"": ""Pay garden hope."", ""performed_by"": ""Frederick Strong""}, {""step"": ""Than activity six yeah six."", ""performed_by"": ""Kenneth Stuart""}]",Speech determine sense difficult possible reality clear campaign. Along concern probably happen science action. Fast cup western hotel employee school new.,Speech determine sense difficult possible reality clear campaign. Along concern probably happen science action. Fast cup western hotel employee school new.
TCKT-1282,"Jul 15, 2025",2025-08-12,Critical,Support;HR,Walter Fisher,nathanwoods@example.com,"[{""system"": ""Database"", ""impact"": ""Full""}]","[{""step"": ""Second against who send without job."", ""performed_by"": ""Darryl Ayers""}, {""step"": ""Baby will set happen help."", ""performed_by"": ""Amy Fry""}, {""step"": ""Manage firm pay beautiful series stock."", ""performed_by"": ""James Smith""}]",Half ready everybody cultural.,Half ready everybody cultural.
TCKT-1283,08/01/26,"Jan 16, 2026",Medium,Sales;Support;Finance,Patricia Mitchell,pnichols@example.com,"[{""system"": ""Network Switch"", ""impact"": ""Full""}, {""system"": ""Network Switch"", ""impact"": ""Partial""}]","[{""step"": ""Body ground bill kitchen."", ""performed_by"": ""Lisa Graham""}, {""step"": ""Way deal out amount amount."", ""performed_by"": ""Brandon Wolf""}, {""step"": ""Skill hand policy speech school standard."", ""performed_by"": ""Mary Dixon""}]",Expert feeling dinner prove. You yard while government seem. Enter front employee significant.,Expert feeling dinner prove. You yard while government seem. Enter front employee significant.
TCKT-1284,2024-12-25,2025-01-19,Medium,HR,Jeffrey Rollins,sarahterry@example.com,"[{""system"": ""Email Server"", ""impact"": ""Full""}]","[{""step"": ""Task adult prevent."", ""performed_by"": ""Juan Wright""}, {""step"": ""Say how program seek really."", ""performed_by"": ""Sharon Young""}]",Between affect painting guess former size. Star assume per easy structure magazine. Clearly learn right save dark grow. On career almost fight hear fight agreement.,Between affect painting guess former size. Star assume per easy structure magazine. Clearly learn right save dark grow. On career almost fight hear fight agreement.
TCKT-1285,"Feb 17, 2025",19/03/25,Critical,Operations;IT;Support,Shannon Harrington,davidcook@example.org,"[{""system"": ""Payroll System"", ""impact"": ""Partial""}]","[{""step"": ""Perhaps feel picture crime realize so."", ""performed_by"": ""Nancy Fischer""}, {""step"": ""Choose one oil international almost season."", ""performed_by"": ""Alan Hooper""}]",Detail course way day. Detail reduce pull nor main. Cut hundred newspaper election cold.,Detail course way day. Detail reduce pull nor main. Cut hundred newspaper election cold.
TCKT-1286,29/04/24,13/05/24,Low,Support;Sales,Jeanette Schultz,vford@example.net,"[{""system"": ""Database"", ""impact"": ""Partial""}, {""system"": ""Web Portal"", ""impact"": ""Partial""}, {""system"": ""Network Switch"", ""impact"": ""Full""}]","[{""step"": ""Win him guy resource huge."", ""performed_by"": ""Cody Davis""}, {""step"": ""Area recently talk early five explain yard."", ""performed_by"": ""Tyler Jones""}]",Value nation such personal Mrs industry foreign. Explain herself our center.,Value nation such personal Mrs industry foreign. Explain herself our center.
TCKT-1287,"Dec 26, 2025","Jan 06, 2026",High,Sales;Finance,Brian Porter,gonzalesmichael@example.com,"[{""system"": ""Payroll System"", ""impact"": ""Partial""}, {""system"": ""Database"", ""impact"": ""Partial""}]","[{""step"": ""Hotel field program himself remember gun per."", ""performed_by"": ""Monica Doyle""}, {""step"": ""Alone should probably over side image."", ""performed_by"": ""Benjamin Rivers""}]",Toward method rich same himself small hour. Rise happy serious on someone. Force anything if medical finish.,Toward method rich same himself small hour. Rise happy serious on someone. Force anything if medical finish.
TCKT-1288,14/09/24,"Oct 10, 2024",Critical,HR;Operations;Support,Meagan Hughes,freemanshannon@example.org,"[{""system"": ""Web Portal"", ""impact"": ""Partial""}, {""system"": ""Database"", ""impact"": ""Full""}]","[{""step"": ""Community material next free store attention next movement."", ""performed_by"": ""John Boyle""}, {""step"": ""Cost each simply tend father practice."", ""performed_by"": ""Amy Wagner""}, {""step"": ""The model information newspaper four worker wide."", ""performed_by"": ""Taylor Davenport""}]",Even station reach term head. Represent power throughout back amount. Energy onto business knowledge difference according suggest. Art require style beyond particularly brother issue. <br> gas!,Even station reach term head. Represent power throughout back amount. Energy onto business knowledge difference according suggest. Art require style beyond particularly brother issue. <br> gas!
TCKT-1289,2025-08-06,2025-08-27,High,IT,Susan Burke,chenry@example.org,"[{""system"": ""Database"", ""impact"": ""Partial""}]","[{""step"": ""Movement ten wife participant."", ""performed_by"": ""Mary Henry""}, {""step"": ""Radio drug budget."", ""performed_by"": ""Martin Payne""}]",East beautiful service material. Five significant play require benefit whole. Ability sort often a both song magazine voice.,East beautiful service material. Five significant play require benefit whole. Ability sort often a both song magazine voice.
TCKT-1290,2025-08-17,03/09/25,Critical,Operations,Chris Patel,kclark@example.com,"[{""system"": ""Payroll System"", ""impact"": ""Full""}, {""system"": ""Payroll System"", ""impact"": ""Full""}, {""system"": ""Payroll System"", ""impact"": ""Partial""}]","[{""step"": ""Heart identify call treatment accept produce travel."", ""performed_by"": ""Paul Lyons""}, {""step"": ""Detail accept among spend art."", ""performed_by"": ""Lisa Mason""}]",Option administration this amount. Unit energy performance drop difference threat minute. <br> democratic!,Option administration this amount. Unit energy performance drop difference threat minute. <br> democratic!
TCKT-1291,2026-02-24,2026-03-15,Low,HR;Finance;Support,Joshua Scott,grahambarbara@example.com,"[{""system"": ""CRM"", ""impact"": ""Partial""}]","[{""step"": ""Half then add care."", ""performed_by"": ""Christine Simpson""}, {""step"": ""Data specific leader religious position daughter."", ""performed_by"": ""Karen Green""}, {""step"": ""Most task same nice treat."", ""performed_by"": ""Michael James""}]",Capital goal each get. Off I leg. Walk set deep trouble treatment discover dark.,Capital goal each get. Off I leg. Walk set deep trouble treatment discover dark.
TCKT-1292,"Apr 04, 2024",14/04/24,High,Support;HR,Kimberly Allen,brandonjones@example.org,"[{""system"": ""Database"", ""impact"": ""Partial""}]","[{""step"": ""He run glass truth national father very population."", ""performed_by"": ""Christina Lin""}, {""step"": ""Not attorney writer if great station."", ""performed_by"": ""Valerie Smith""}, {""step"": ""Concern foot those right else great guy."", ""performed_by"": ""Jennifer Myers""}]",Learn whose different.,Learn whose different.
TCKT-1293,26/02/25,"Mar 14, 2025",High,Marketing;Finance,Allison Wright,keith09@example.net,"[{""system"": ""Web Portal"", ""impact"": ""Full""}, {""system"": ""Web Portal"", ""impact"": ""Partial""}]","[{""step"": ""Second usually relate present."", ""performed_by"": ""Darrell Turner""}, {""step"": ""Employee environmental beautiful indeed interesting."", ""performed_by"": ""Karen Lopez""}]",Available bring nor word little put. Floor material light cover thus matter. <br> or!,Available bring nor word little put. Floor material light cover thus matter. <br> or!
TCKT-1294,21/11/25,2025-12-14,Critical,Finance;Operations,Shane Reeves,averybrian@example.com,"[{""system"": ""Email Server"", ""impact"": ""Full""}]","[{""step"": ""Soldier how notice cell."", ""performed_by"": ""Tara Castro""}, {""step"": ""Second seat project mission."", ""performed_by"": ""Tyler Kennedy""}]",Challenge sea under forget writer alone argue but. Peace suffer risk somebody agent participant defense. Nearly your wonder add beyond score through.,Challenge sea under forget writer alone argue but. Peace suffer risk somebody agent participant defense. Nearly your wonder add beyond score through.
TCKT-1295,"Jun 13, 2025",30/06/25,Medium,IT;HR;Operations,Jennifer Munoz,robinsonmonica@example.org,"[{""system"": ""Web Portal"", ""impact"": ""Partial""}, {""system"": ""Network Switch"", ""impact"": ""Partial""}, {""system"": ""Database"", ""impact"": ""Full""}]","[{""step"": ""Group here where wonder past."", ""performed_by"": ""Brian Petersen""}, {""step"": ""Behind possible get short these face."", ""performed_by"": ""Jeanette Bartlett""}]",Light question perform figure collection reveal.,Light question perform figure collection reveal.
TCKT-1296,31/03/24,12/04/24,Medium,Marketing;Finance;Sales,Aimee Johnson,alexander25@example.com,"[{""system"": ""Web Portal"", ""impact"": ""Partial""}]","[{""step"": ""Themselves expert check."", ""performed_by"": ""Christine Bush""}]",During level almost kitchen. Sign child see there building.,During level almost kitchen. Sign child see there building.
TCKT-1297,2024-04-26,"Apr 28, 2024",Low,Operations,Kellie Pham,emilymorgan@example.net,"[{""system"": ""Network Switch"", ""impact"": ""Partial""}, {""system"": ""Email Server"", ""impact"": ""Full""}]","[{""step"": ""Into stand cold medical above account."", ""performed_by"": ""Megan Martinez""}]",Budget physical hand someone scientist address. <br> develop!,Budget physical hand someone scientist address. <br> develop!
TCKT-1298,15/09/24,09/10/24,Medium,Marketing;HR,Ariel Reeves,bakerheather@example.org,"[{""system"": ""Payroll System"", ""impact"": ""Partial""}]","[{""step"": ""Worry every follow factor figure service interest."", ""performed_by"": ""Gabriella Johnson""}, {""step"": ""Training off would here."", ""performed_by"": ""Jacob Spears""}, {""step"": ""Inside lawyer ball right."", ""performed_by"": ""Jacob Fischer""}]",Perform each wife necessary their specific. Every friend compare morning dark let total. Reflect some close bill.,Perform each wife necessary their specific. Every friend compare morning dark let total. Reflect some close bill.
TCKT-1299,2026-01-03,23/01/26,Critical,HR;Marketing;Support,Clinton Stewart,eric04@example.com,"[{""system"": ""Email Server"", ""impact"": ""Partial""}, {""system"": ""Database"", ""impact"": ""Partial""}, {""system"": ""Payroll System"", ""impact"": ""Partial""}]","[{""step"": ""Must food poor standard water."", ""performed_by"": ""Rachel Rodriguez""}, {""step"": ""State need within guy range significant food suddenly."", ""performed_by"": ""Judy Acosta""}]",Defense share floor task key process him none. Region as heavy there. Ask position design information no. East good drop ground almost myself. <br> themselves!,Defense share floor task key process him none. Region as heavy there. Ask position design information no. East good drop ground almost myself. <br> themselves!
TCKT-1300,"Nov 08, 2024","Nov 10, 2024",Medium,Support;Marketing;HR,Emily Richardson,,"[{""system"": ""Web Portal"", ""impact"": ""Partial""}]","[{""step"": ""Beyond maintain focus easy but tell."", ""performed_by"": ""Julia Hunt""}, {""step"": ""Western black family test call identify prove."", ""performed_by"": ""Jamie Holland""}]",Player crime little body scientist. Coach son size prevent. At shoulder wonder light full. <br> wish!,Player crime little body scientist. Coach son size prevent. At shoulder wonder light full. <br> wish!
TCKT-1301,2025-08-22,"Sep 04, 2025",Medium,Operations,Renee James,jennifer80@example.com,"[{""system"": ""Web Portal"", ""impact"": ""Partial""}, {""system"": ""CRM"", ""impact"": ""Partial""}, {""system"": ""Web Portal"", ""impact"": ""Partial""}]","[{""step"": ""Foreign me officer hand beyond."", ""performed_by"": ""Kara Owens""}, {""step"": ""See show various perform expert science."", ""performed_by"": ""Jason Lester""}, {""step"": ""Enjoy force affect sit stage."", ""performed_by"": ""Nicole Sharp""}]",Enjoy really power probably strategy. Likely million many everyone. <br> same!,Enjoy really power probably strategy. Likely million many everyone. <br> same!
TCKT-1302,"Apr 22, 2024",2024-05-21,Low,Marketing;Finance;Sales,Michael Jackson,brittany66@example.org,"[{""system"": ""Web Portal"", ""impact"": ""Full""}, {""system"": ""Email Server"", ""impact"": ""Partial""}, {""system"": ""Email Server"", ""impact"": ""Full""}]","[{""step"": ""Issue force price end road."", ""performed_by"": ""Duane Christensen""}, {""step"": ""History its can one important later."", ""performed_by"": ""Lauren Baker""}, {""step"": ""Put me marriage law."", ""performed_by"": ""Ricardo Hernandez""}]",Beyond today agree five. Huge garden whole agreement. Past than price standard field suddenly design. Even hope rest water kitchen.,Beyond today agree five. Huge garden whole agreement. Past than price standard field suddenly design. Even hope rest water kitchen.
TCKT-1303,2024-04-04,"Apr 22, 2024",Critical,Finance;HR;Operations,Rachel Heath,vbrown@example.com,"[{""system"": ""Email Server"", ""impact"": ""Full""}]","[{""step"": ""Serious fill with her star become."", ""performed_by"": ""Robert Lopez""}, {""step"": ""Understand power majority loss already."", ""performed_by"": ""Charles Lowe""}, {""step"": ""Kind interest here though buy always."", ""performed_by"": ""Carlos Peters""}]",Standard involve own young. Vote red discover study. <br> relationship!,Standard involve own young. Vote red discover study. <br> relationship!
TCKT-1304,2024-05-05,26/05/24,High,Operations,Christopher Lopez,sheila68@example.com,"[{""system"": ""CRM"", ""impact"": ""Partial""}, {""system"": ""Database"", ""impact"": ""Full""}, {""system"": ""Database"", ""impact"": ""Full""}]","[{""step"": ""Turn now serious true tax stuff."", ""performed_by"": ""Nicole Rice""}, {""step"": ""Along class voice again trip."", ""performed_by"": ""Matthew Hobbs""}, {""step"": ""Purpose fight determine article knowledge partner."", ""performed_by"": ""Matthew Weiss""}]",Sport tough sell worry window institution. Last specific career scene their star. Speech chair firm.,Sport tough sell worry window institution. Last specific career scene their star. Speech chair firm.
TCKT-1305,"Oct 06, 2024",2024-10-23,High,Sales;HR;Finance,Rachel Marquez,ugallagher@example.com,"[{""system"": ""Database"", ""impact"": ""Full""}, {""system"": ""CRM"", ""impact"": ""Full""}, {""system"": ""Web Portal"", ""impact"": ""Full""}]","[{""step"": ""Few style response beat wear after course."", ""performed_by"": ""Oscar Vasquez""}, {""step"": ""Again area answer land down matter simply."", ""performed_by"": ""Charles Nelson""}, {""step"": ""Decade manage look positive life."", ""performed_by"": ""Joseph Hernandez""}]",My red plant five toward nothing determine forward. Model activity ahead book approach air.,My red plant five toward nothing determine forward. Model activity ahead book approach air.
TCKT-1306,"Jun 26, 2024",2024-07-05,Low,Support;Marketing;Sales,Mrs. Deborah Johnson,gfreeman@example.org,"[{""system"": ""Payroll System"", ""impact"": ""Partial""}, {""system"": ""Email Server"", ""impact"": ""Partial""}, {""system"": ""Payroll System"", ""impact"": ""Partial""}]","[{""step"": ""Month most trip rest traditional number end."", ""performed_by"": ""Laura Hernandez""}, {""step"": ""Sport establish probably cell mother."", ""performed_by"": ""Richard Wilson""}, {""step"": ""Place player mission firm box forward he."", ""performed_by"": ""Alicia Stewart""}]",Particularly how become visit. Improve behind else child sister perform. Later movement article item activity training alone.,Particularly how become visit. Improve behind else child sister perform. Later movement article item activity training alone.
TCKT-1307,2025-12-27,2025-12-27,Medium,Operations;IT;Support,Victoria Roberts,westmelissa@example.net,"[{""system"": ""Email Server"", ""impact"": ""Full""}, {""system"": ""CRM"", ""impact"": ""Partial""}, {""system"": ""CRM"", ""impact"": ""Partial""}]","[{""step"": ""Suggest magazine toward adult hit mind fight fire."", ""performed_by"": ""Emily Moore""}, {""step"": ""Choice get that."", ""performed_by"": ""Michael Mendoza""}, {""step"": ""Price front recently quite smile raise."", ""performed_by"": ""Tiffany Obrien""}]",City establish quite foreign since business with. Quickly itself positive later statement continue mission threat. <br> gun!,City establish quite foreign since business with. Quickly itself positive later statement continue mission threat. <br> gun!
TCKT-1308,"Sep 09, 2025","Oct 06, 2025",Low,HR;Operations,Elizabeth Campos,melanieknapp@example.com,"[{""system"": ""Network Switch"", ""impact"": ""Partial""}, {""system"": ""Web Portal"", ""impact"": ""Partial""}]","[{""step"": ""Another save future mention guess one total."", ""performed_by"": ""Scott Freeman""}, {""step"": ""Major record perform."", ""performed_by"": ""Frederick Ward""}, {""step"": ""Generation country son available."", ""performed_by"": ""Melissa Davis""}]",Listen as mission pay think. Help military few there key need reach.,Listen as mission pay think. Help military few there key need reach.
TCKT-1309,27/02/25,23/03/25,Critical,Finance;Marketing;IT,Lindsey Woods,cdunn@example.net,"[{""system"": ""Database"", ""impact"": ""Partial""}, {""system"": ""CRM"", ""impact"": ""Partial""}]","[{""step"": ""Them instead because campaign draw."", ""performed_by"": ""Travis Roberts""}, {""step"": ""Rise often marriage tend never necessary."", ""performed_by"": ""Alec Brown""}]",It we individual fear truth message. Return appear small over doctor. Tell another meet edge.,It we individual fear truth message. Return appear small over doctor. Tell another meet edge.
TCKT-1310,"Sep 04, 2024","Sep 29, 2024",High,Operations;Sales,Timothy Ortega,mark79@example.com,"[{""system"": ""CRM"", ""impact"": ""Partial""}, {""system"": ""Web Portal"", ""impact"": ""Partial""}, {""system"": ""Email Server"", ""impact"": ""Full""}]","[{""step"": ""Rich political buy central month."", ""performed_by"": ""Stephen Guerrero""}]",Conference local dinner situation one watch quality before. Ahead wish hundred join term attorney maintain. Minute chair skill sell before.,Conference local dinner situation one watch quality before. Ahead wish hundred join term attorney maintain. Minute chair skill sell before.
TCKT-1311,27/11/24,2024-12-15,Medium,Support;Sales;IT,Jillian Ramsey,joshua73@example.com,"[{""system"": ""CRM"", ""impact"": ""Partial""}, {""system"": ""Web Portal"", ""impact"": ""Full""}, {""system"": ""Web Portal"", ""impact"": ""Partial""}]","[{""step"": ""Reduce agreement nearly statement yeah could way."", ""performed_by"": ""Kimberly King""}]",Radio forward ahead capital floor. Wait while wear church likely lawyer produce.,Radio forward ahead capital floor. Wait while wear church likely lawyer produce.
TCKT-1312,2026-01-18,2026-02-14,Medium,Sales,Felicia Holland,onealrachel@example.org,"[{""system"": ""Network Switch"", ""impact"": ""Full""}, {""system"": ""CRM"", ""impact"": ""Full""}, {""system"": ""Email Server"", ""impact"": ""Full""}]","[{""step"": ""Hand person exactly leave coach author."", ""performed_by"": ""Jonathan Cook""}, {""step"": ""Hundred budget inside carry."", ""performed_by"": ""Anthony Mays""}, {""step"": ""Dark occur minute radio rate show official."", ""performed_by"": ""Christopher Douglas""}]",Art maybe pretty. She start first order night who. Cover two lose reflect concern particular.,Art maybe pretty. She start first order night who. Cover two lose reflect concern particular.
TCKT-1313,2025-12-09,2025-12-25,Medium,HR;Support;Marketing,Brian Kirk,rogersbrittany@example.net,"[{""system"": ""Payroll System"", ""impact"": ""Partial""}]","[{""step"": ""Least exist which no class."", ""performed_by"": ""Joseph Vargas""}, {""step"": ""But recognize account begin science direction alone."", ""performed_by"": ""Kayla Young""}, {""step"": ""Share large take different human."", ""performed_by"": ""Michael Riley""}]",I bag hard argue authority modern. Red simply reach cause. Eat ago red international weight small clear.,I bag hard argue authority modern. Red simply reach cause. Eat ago red international weight small clear.
TCKT-1314,18/05/24,20/05/24,Medium,Sales;Marketing;Operations,Rebecca Morales,ythomas@example.com,"[{""system"": ""Email Server"", ""impact"": ""Partial""}, {""system"": ""Web Portal"", ""impact"": ""Full""}]","[{""step"": ""Now not tree movie final want tend."", ""performed_by"": ""Kristen Ayala""}, {""step"": ""Attack performance fish believe involve between beautiful."", ""performed_by"": ""Margaret Johnson""}, {""step"": ""Animal herself open ready character shoulder."", ""performed_by"": ""Rachel Johnson""}]",Professional husband guy newspaper. View house bill performance pressure.,Professional husband guy newspaper. View house bill performance pressure.
TCKT-1315,26/09/25,"Oct 24, 2025",Critical,Finance;Operations;Sales,Mckenzie Bryant,jlozano@example.com,"[{""system"": ""Database"", ""impact"": ""Full""}, {""system"": ""Email Server"", ""impact"": ""Partial""}, {""system"": ""Network Switch"", ""impact"": ""Full""}]","[{""step"": ""Different as especially outside air any."", ""performed_by"": ""Michael Dixon""}, {""step"": ""Arm view type strong base player amount."", ""performed_by"": ""Susan Martinez""}, {""step"": ""Positive president responsibility third."", ""performed_by"": ""Stacy Rivera""}]",Tree second lose discuss data piece turn. Hold tell pattern partner future protect factor. <br> trial!,Tree second lose discuss data piece turn. Hold tell pattern partner future protect factor. <br> trial!
TCKT-1316,08/07/25,"Jul 26, 2025",Critical,Sales,Kiara Morales,rhuynh@example.com,"[{""system"": ""Network Switch"", ""impact"": ""Full""}, {""system"": ""Database"", ""impact"": ""Full""}]","[{""step"": ""Carry responsibility result simple case."", ""performed_by"": ""Tanya Johnson""}]",Member herself man begin chance laugh. Page general I foreign myself police.,Member herself man begin chance laugh. Page general I foreign myself police.
TCKT-1317,25/09/25,"Oct 22, 2025",Medium,HR;Finance,Maria Ingram MD,oconnelljessica@example.org,"[{""system"": ""Web Portal"", ""impact"": ""Full""}]","[{""step"": ""Across play attack become."", ""performed_by"": ""Darren Davis""}, {""step"": ""Idea network general friend single."", ""performed_by"": ""Amanda Wagner""}]",Blue degree throughout drop. Majority save lot mean network since. <br> every!,Blue degree throughout drop. Majority save lot mean network since. <br> every!
TCKT-1318,"Sep 10, 2025",18/09/25,Medium,IT;HR;Operations,Crystal Alvarez,richardsonbrandon@example.net,"[{""system"": ""Web Portal"", ""impact"": ""Full""}, {""system"": ""Email Server"", ""impact"": ""Full""}]","[{""step"": ""Onto seven leave rest."", ""performed_by"": ""Travis Farmer""}, {""step"": ""Pretty site seat social drop fly."", ""performed_by"": ""Eugene Bryant""}]",Tax benefit however exactly. Remember situation notice. <br> health!,Tax benefit however exactly. Remember situation notice. <br> health!
TCKT-1319,2025-08-10,"Aug 27, 2025",Medium,Operations;HR,Daniel Ford,maurice13@example.com,"[{""system"": ""Web Portal"", ""impact"": ""Full""}, {""system"": ""Network Switch"", ""impact"": ""Full""}, {""system"": ""Network Switch"", ""impact"": ""Full""}]","[{""step"": ""Task until not on professor theory which."", ""performed_by"": ""Jesse Martinez""}, {""step"": ""Not the million hold approach everyone claim."", ""performed_by"": ""Aaron Singh""}, {""step"": ""Somebody laugh program here."", ""performed_by"": ""Kristin Taylor""}]",Hospital different or likely gas who west. Mean sport avoid these discussion cost truth player. Short partner city finally indeed space. Message person left wish table whether.,Hospital different or likely gas who west. Mean sport avoid these discussion cost truth player. Short partner city finally indeed space. Message person left wish table whether.
TCKT-1320,2026-02-20,13/03/26,High,IT;Operations,Brandi Perez,clementsmelissa@example.org,"[{""system"": ""Payroll System"", ""impact"": ""Partial""}, {""system"": ""Network Switch"", ""impact"": ""Partial""}, {""system"": ""Payroll System"", ""impact"": ""Partial""}]","[{""step"": ""One somebody season wife possible."", ""performed_by"": ""Charles Burke""}, {""step"": ""Avoid risk account peace respond anyone."", ""performed_by"": ""Andrew Terrell""}, {""step"": ""Me himself test right employee rock."", ""performed_by"": ""Michael Williams""}]",Get identify mission medical cold. Hold care to century TV direction. Beyond include spend without lawyer hair character.,Get identify mission medical cold. Hold care to century TV direction. Beyond include spend without lawyer hair character.
TCKT-1321,07/12/24,18/12/24,Low,Operations,Ryan Ellis,smithtracy@example.com,"[{""system"": ""Network Switch"", ""impact"": ""Full""}]","[{""step"": ""Piece each end point."", ""performed_by"": ""Yolanda Bell""}]",Drive defense recent lay western. Fact sign staff condition under. Almost professor experience.,Drive defense recent lay western. Fact sign staff condition under. Almost professor experience.
TCKT-1322,2024-10-08,27/10/24,Medium,Finance;Marketing;Support,Alyssa Clark,sjennings@example.com,"[{""system"": ""Web Portal"", ""impact"": ""Full""}]","[{""step"": ""Often during college nor capital serve."", ""performed_by"": ""Jillian Williams""}, {""step"": ""Lawyer natural resource represent growth."", ""performed_by"": ""Jason Jacobs""}]",,
